PROLIFIC_PID,q_num,ans,intuition,damage_lvl,question_type
67e43f833cbc162990372808,Q260,4,table,8642,allocation
67e43f833cbc162990372808,Q227,5% penalty,table,8642,penalty
67e43f833cbc162990372808,Q9...160,Moderately Blameworthy,table,8642,praiseworthy
67e43f833cbc162990372808,Q257,1,table,6211,allocation
67e43f833cbc162990372808,Q226,2% penalty,table,6211,penalty
67e43f833cbc162990372808,Q9...139,Moderately Blameworthy,table,6211,praiseworthy
67e43f833cbc162990372808,Q255,2,table,4321,allocation
67e43f833cbc162990372808,Q225,2% penalty,table,4321,penalty
67e43f833cbc162990372808,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
67eb1d06413bd17867147769,Q260,40,table,8642,allocation
67eb1d06413bd17867147769,Q227,no penalty,table,8642,penalty
67eb1d06413bd17867147769,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
67eb1d06413bd17867147769,Q257,50,table,6211,allocation
67eb1d06413bd17867147769,Q226,no penalty,table,6211,penalty
67eb1d06413bd17867147769,Q9...139,Very Praiseworthy,table,6211,praiseworthy
67eb1d06413bd17867147769,Q255,20,table,4321,allocation
67eb1d06413bd17867147769,Q225,4% penalty,table,4321,penalty
67eb1d06413bd17867147769,Q9...125,A Little Praiseworthy,table,4321,praiseworthy
610843dd91193502f775457b,Q260,90,table,8642,allocation
610843dd91193502f775457b,Q227,no penalty,table,8642,penalty
610843dd91193502f775457b,Q9...160,Very Praiseworthy,table,8642,praiseworthy
610843dd91193502f775457b,Q257,80,table,6211,allocation
610843dd91193502f775457b,Q226,no penalty,table,6211,penalty
610843dd91193502f775457b,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
610843dd91193502f775457b,Q255,10,table,4321,allocation
610843dd91193502f775457b,Q225,4% penalty,table,4321,penalty
610843dd91193502f775457b,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
67e926ff4b842f35ff1e9e83,Q260,40,table,8642,allocation
67e926ff4b842f35ff1e9e83,Q227,no penalty,table,8642,penalty
67e926ff4b842f35ff1e9e83,Q9...160,A Little Blameworthy,table,8642,praiseworthy
67e926ff4b842f35ff1e9e83,Q257,60,table,6211,allocation
67e926ff4b842f35ff1e9e83,Q226,no penalty,table,6211,penalty
67e926ff4b842f35ff1e9e83,Q9...139,Very Praiseworthy,table,6211,praiseworthy
67e926ff4b842f35ff1e9e83,Q255,50,table,4321,allocation
67e926ff4b842f35ff1e9e83,Q225,no penalty,table,4321,penalty
67e926ff4b842f35ff1e9e83,Q9...125,Very Blameworthy,table,4321,praiseworthy
5588d01bfdf99b304dd47ced,Q260,40,table,8642,allocation
5588d01bfdf99b304dd47ced,Q227,no penalty,table,8642,penalty
5588d01bfdf99b304dd47ced,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
5588d01bfdf99b304dd47ced,Q257,60,table,6211,allocation
5588d01bfdf99b304dd47ced,Q226,no penalty,table,6211,penalty
5588d01bfdf99b304dd47ced,Q9...139,Neither,table,6211,praiseworthy
5588d01bfdf99b304dd47ced,Q255,40,table,4321,allocation
5588d01bfdf99b304dd47ced,Q225,no penalty,table,4321,penalty
5588d01bfdf99b304dd47ced,Q9...125,A Little Blameworthy,table,4321,praiseworthy
67dc51d9451653b8b4662d1f,Q260,22,table,8642,allocation
67dc51d9451653b8b4662d1f,Q227,2% penalty,table,8642,penalty
67dc51d9451653b8b4662d1f,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
67dc51d9451653b8b4662d1f,Q257,21,table,6211,allocation
67dc51d9451653b8b4662d1f,Q226,no penalty,table,6211,penalty
67dc51d9451653b8b4662d1f,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
67dc51d9451653b8b4662d1f,Q255,4,table,4321,allocation
67dc51d9451653b8b4662d1f,Q225,no penalty,table,4321,penalty
67dc51d9451653b8b4662d1f,Q9...125,A Little Praiseworthy,table,4321,praiseworthy
5ecf40ccb218ec372490e3ea,Q260,100,table,8642,allocation
5ecf40ccb218ec372490e3ea,Q227,no penalty,table,8642,penalty
5ecf40ccb218ec372490e3ea,Q9...160,Neither,table,8642,praiseworthy
5ecf40ccb218ec372490e3ea,Q257,75,table,6211,allocation
5ecf40ccb218ec372490e3ea,Q226,no penalty,table,6211,penalty
5ecf40ccb218ec372490e3ea,Q9...139,Neither,table,6211,praiseworthy
5ecf40ccb218ec372490e3ea,Q255,0,table,4321,allocation
5ecf40ccb218ec372490e3ea,Q225,no penalty,table,4321,penalty
5ecf40ccb218ec372490e3ea,Q9...125,A Little Blameworthy,table,4321,praiseworthy
677d50ee63c5cc384a8579b7,Q260,60,table,8642,allocation
677d50ee63c5cc384a8579b7,Q227,no penalty,table,8642,penalty
677d50ee63c5cc384a8579b7,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
677d50ee63c5cc384a8579b7,Q257,60,table,6211,allocation
677d50ee63c5cc384a8579b7,Q226,no penalty,table,6211,penalty
677d50ee63c5cc384a8579b7,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
677d50ee63c5cc384a8579b7,Q255,40,table,4321,allocation
677d50ee63c5cc384a8579b7,Q225,1% penalty,table,4321,penalty
677d50ee63c5cc384a8579b7,Q9...125,A Little Blameworthy,table,4321,praiseworthy
67570b014645d710f1e76680,Q260,40,table,8642,allocation
67570b014645d710f1e76680,Q227,no penalty,table,8642,penalty
67570b014645d710f1e76680,Q9...160,Very Praiseworthy,table,8642,praiseworthy
67570b014645d710f1e76680,Q257,40,table,6211,allocation
67570b014645d710f1e76680,Q226,no penalty,table,6211,penalty
67570b014645d710f1e76680,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
67570b014645d710f1e76680,Q255,20,table,4321,allocation
67570b014645d710f1e76680,Q225,2% penalty,table,4321,penalty
67570b014645d710f1e76680,Q9...125,A Little Blameworthy,table,4321,praiseworthy
67a641b91e95222a9cab4af3,Q260,60,table,8642,allocation
67a641b91e95222a9cab4af3,Q227,2% penalty,table,8642,penalty
67a641b91e95222a9cab4af3,Q9...160,A Little Blameworthy,table,8642,praiseworthy
67a641b91e95222a9cab4af3,Q257,60,table,6211,allocation
67a641b91e95222a9cab4af3,Q226,2% penalty,table,6211,penalty
67a641b91e95222a9cab4af3,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
67a641b91e95222a9cab4af3,Q255,13,table,4321,allocation
67a641b91e95222a9cab4af3,Q225,1% penalty,table,4321,penalty
67a641b91e95222a9cab4af3,Q9...125,A Little Blameworthy,table,4321,praiseworthy
671c1871eb30c87c11b2211a,Q260,50,table,8642,allocation
671c1871eb30c87c11b2211a,Q227,no penalty,table,8642,penalty
671c1871eb30c87c11b2211a,Q9...160,Very Praiseworthy,table,8642,praiseworthy
671c1871eb30c87c11b2211a,Q257,60,table,6211,allocation
671c1871eb30c87c11b2211a,Q226,3% penalty,table,6211,penalty
671c1871eb30c87c11b2211a,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
671c1871eb30c87c11b2211a,Q255,40,table,4321,allocation
671c1871eb30c87c11b2211a,Q225,2% penalty,table,4321,penalty
