PROLIFIC_PID,question_num,ans,intuition,color,damage_lvl,question_type
607efd741f6bcb251d7d5cee,Q320,2,unint,blues,8642,allocation
607efd741f6bcb251d7d5cee,Q321,5% penalty,unint,blues,8642,penalty
607efd741f6bcb251d7d5cee,Q322,A Little Blameworthy,unint,blues,8642,praiseworthy
607efd741f6bcb251d7d5cee,Q245,4,unint,blues,6211,allocation
607efd741f6bcb251d7d5cee,Q206,1% penalty,unint,blues,6211,penalty
607efd741f6bcb251d7d5cee,Q9...103,Moderately Blameworthy,unint,blues,6211,praiseworthy
607efd741f6bcb251d7d5cee,Q300,3,unint,blues,4321,allocation
607efd741f6bcb251d7d5cee,Q301,5% penalty,unint,blues,4321,penalty
607efd741f6bcb251d7d5cee,Q302,Very Blameworthy,unint,blues,4321,praiseworthy
607efd741f6bcb251d7d5cee,Q371_1,6,unint,blues,8642,acc_prova
607efd741f6bcb251d7d5cee,Q371_4,5,unint,blues,8642,acc_provb
607efd741f6bcb251d7d5cee,Q371_5,4,unint,blues,8642,acc_provc
607efd741f6bcb251d7d5cee,Q371_6,6,unint,blues,8642,acc_provd
607efd741f6bcb251d7d5cee,Q372_1,1,unint,blues,6211,acc_prova
607efd741f6bcb251d7d5cee,Q372_4,4,unint,blues,6211,acc_provb
607efd741f6bcb251d7d5cee,Q372_5,4.6,unint,blues,6211,acc_provc
607efd741f6bcb251d7d5cee,Q372_6,9,unint,blues,6211,acc_provd
607efd741f6bcb251d7d5cee,Q373_1,-2,unint,blues,4321,acc_prova
607efd741f6bcb251d7d5cee,Q373_4,3,unint,blues,4321,acc_provb
607efd741f6bcb251d7d5cee,Q373_5,3,unint,blues,4321,acc_provc
607efd741f6bcb251d7d5cee,Q373_6,3,unint,blues,4321,acc_provd
664b86d71e77821153d7fdef,Q244,20,int,rocket,8642,allocation
664b86d71e77821153d7fdef,Q160,5% penalty,int,rocket,8642,penalty
664b86d71e77821153d7fdef,Q9...63,Moderately Blameworthy,int,rocket,8642,praiseworthy
664b86d71e77821153d7fdef,Q315,40,int,rocket,6211,allocation
664b86d71e77821153d7fdef,Q316,1% penalty,int,rocket,6211,penalty
664b86d71e77821153d7fdef,Q317,A Little Praiseworthy,int,rocket,6211,praiseworthy
664b86d71e77821153d7fdef,Q290,30,int,rocket,4321,allocation
664b86d71e77821153d7fdef,Q291,3% penalty,int,rocket,4321,penalty
664b86d71e77821153d7fdef,Q292,Moderately Blameworthy,int,rocket,4321,praiseworthy
664b86d71e77821153d7fdef,Q374_1,10,int,rocket,8642,acc_prova
664b86d71e77821153d7fdef,Q374_4,7,int,rocket,8642,acc_provb
664b86d71e77821153d7fdef,Q374_5,5,int,rocket,8642,acc_provc
664b86d71e77821153d7fdef,Q374_6,2,int,rocket,8642,acc_provd
664b86d71e77821153d7fdef,Q375_1,8,int,rocket,6211,acc_prova
664b86d71e77821153d7fdef,Q375_4,2,int,rocket,6211,acc_provb
664b86d71e77821153d7fdef,Q375_5,1,int,rocket,6211,acc_provc
664b86d71e77821153d7fdef,Q375_6,1,int,rocket,6211,acc_provd
664b86d71e77821153d7fdef,Q376_1,4,int,rocket,4321,acc_prova
664b86d71e77821153d7fdef,Q376_4,3,int,rocket,4321,acc_provb
664b86d71e77821153d7fdef,Q376_5,2,int,rocket,4321,acc_provc
664b86d71e77821153d7fdef,Q376_6,1,int,rocket,4321,acc_provd
590f901cdcc7b30001eed302,Q241,40,unint,rocket,8642,allocation
590f901cdcc7b30001eed302,Q233,4% penalty,unint,rocket,8642,penalty
590f901cdcc7b30001eed302,Q213,Moderately Blameworthy,unint,rocket,8642,praiseworthy
590f901cdcc7b30001eed302,Q310,95,unint,rocket,6211,allocation
590f901cdcc7b30001eed302,Q311,no penalty,unint,rocket,6211,penalty
590f901cdcc7b30001eed302,Q312,Very Praiseworthy,unint,rocket,6211,praiseworthy
590f901cdcc7b30001eed302,Q295,50,unint,rocket,4321,allocation
590f901cdcc7b30001eed302,Q296,5% penalty,unint,rocket,4321,penalty
590f901cdcc7b30001eed302,Q297,Very Blameworthy,unint,rocket,4321,praiseworthy
590f901cdcc7b30001eed302,Q377_1,10,unint,rocket,8642,acc_prova
590f901cdcc7b30001eed302,Q377_4,7,unint,rocket,8642,acc_provb
590f901cdcc7b30001eed302,Q377_5,5,unint,rocket,8642,acc_provc
590f901cdcc7b30001eed302,Q377_6,0,unint,rocket,8642,acc_provd
590f901cdcc7b30001eed302,Q378_1,8,unint,rocket,6211,acc_prova
