StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q189,Q191,Q190,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,Q241,Q233,Q213,Q197_First Click,Q197_Last Click,Q197_Page Submit,Q197_Click Count,Q242,Q213,Q201,Q202_First Click,Q202_Last Click,Q202_Page Submit,Q202_Click Count,Q263,Q216,Q206,Q133_First Click,Q133_Last Click,Q133_Page Submit,Q133_Click Count,Q244,Q160,Q9,Q134_First Click,Q134_Last Click,Q134_Page Submit,Q134_Click Count,Q245,Q206,Q9,Q135_First Click,Q135_Last Click,Q135_Page Submit,Q135_Click Count,Q246,Q215,Q9,Q136_First Click,Q136_Last Click,Q136_Page Submit,Q136_Click Count,Q247,Q212,Q9,Q137_First Click,Q137_Last Click,Q137_Page Submit,Q137_Click Count,Q248,Q218,Q9,Q138_First Click,Q138_Last Click,Q138_Page Submit,Q138_Click Count,Q249,Q219,Q9,Q139_First Click,Q139_Last Click,Q139_Page Submit,Q139_Click Count,Q250,Q217,Q9,Q140_First Click,Q140_Last Click,Q140_Page Submit,Q140_Click Count,Q251,Q222,Q9,Q141_First Click,Q141_Last Click,Q141_Page Submit,Q141_Click Count,Q252,Q220,Q9,Q142_First Click,Q142_Last Click,Q142_Page Submit,Q142_Click Count,Q253,Q221,Q240,Q143_First Click,Q143_Last Click,Q143_Page Submit,Q143_Click Count,Q254,Q224,Q9,Q144_First Click,Q144_Last Click,Q144_Page Submit,Q144_Click Count,Q255,Q225,Q9,Q145_First Click,Q145_Last Click,Q145_Page Submit,Q145_Click Count,Q256,Q223,Q9,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q257,Q226,Q9,Q147_First Click,Q147_Last Click,Q147_Page Submit,Q147_Click Count,Q258,Q228,Q9,Q148_First Click,Q148_Last Click,Q148_Page Submit,Q148_Click Count,Q259,Q230,Q9,Q149_First Click,Q149_Last Click,Q149_Page Submit,Q149_Click Count,Q260,Q227,Q9,Q150_First Click,Q150_Last Click,Q150_Page Submit,Q150_Click Count,Q261,Q229,Q9,Q151_First Click,Q151_Last Click,Q151_Page Submit,Q151_Click Count,Q262,Q232,Q9,Q234,Q235,Q236,Q237,SubjNumTest_1,SubjNumTest_2,Q239_1,MoralDes_Intuition_1,MoralDes_Intuition_2,MoralDes_Intuition_3,MoralDes_Delib_1,MoralDes_Delib_2,MoralDes_Delib_3,MoralDes_Integration_1,MoralDes_Integration_2,MoralDes_Integration_3,MoralDes_Rules_1,MoralDes_Rules_2,MoralDes_Rules_3,MoralDes_Rules_1,MoralDes_Rules_2,MoralDes_Rules_3,Q19,Q19_3_TEXT,Q20,Q21,Q24,Q26,Q168,Q28,Q28_8_TEXT,Q30,Q32,Q33,Q34,Q35,Q192,PROLIFIC_PID,PageCount,blockOrder,blockName
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which device are you taking this survey on?,Do you have normal or corrected-to-normal vision?,"What is your primary spoken language?  (Example could include: English, Spanish, Chinese, etc.)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now? This is an attention check. Enter 0 below.,"What percent penalty should Cresta apply to the general federal budget awarded to Province A?  This is an attention check. Enter ""no penalty"" below.","How blameworthy or praiseworthy were the actions of Province A's citizens?  This is an attention check. Enter ""Neither"" below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now? This is an attention check. Enter 5 below.,What percent penalty should Cresta apply to the general federal budget awarded to Province A?  This is an attention check.  Enter 5% penalty below.,"How blameworthy or praiseworthy were the actions of Province A's citizens?  This is an attention check. Enter ""Moderately Praiseworthy"" below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What percent of their emergency budget for this storm should Cresta allocate to Province A right now?,What percent penalty should Cresta apply to the general federal budget awarded to Province A next year?,How blameworthy or praiseworthy were the actions of Province A's citizens in this scenario?,"How difficult did you find these decisions to make, overall?","How confident are you in the allocation and penalty decisions you made, overall?",Please briefly describe and explain the main factors you considered when deciding how to respond to the scenarios you just answered.,Did you use a calculator for any part of your answers?,Please answer the questions below about how comfortable you are with different types of numerical tasks. - How good are you at working with fractions?,Please answer the questions below about how comfortable you are with different types of numerical tasks. - How good are you at figuring out how much a shirt will cost if it is 25% off?,Q239 - How often do you find numerical information to be useful?,Please answer the following questions about how you generally make moral judgments. - To what extent do you rely on your intuition when making moral decisions?,Please answer the following questions about how you generally make moral judgments. - To what extent do you rely on your emotions when making moral decisions?,Please answer the following questions about how you generally make moral judgments. - To what extent do you trust your gut feeling when making moral decisions?,MoralDes_Delib - To what extent is it important that you have a rational reason for your moral decisions?,MoralDes_Delib - To what extent do you consider the anticipated consequences of your moral decisions?,MoralDes_Delib - To what extent do you carefully evaluate the pros and cons of one possible moral decision compared to alternative possible moral decisions?,MoralDes_Integration - To what extent do you think about whether the anticipated benefits of breaking a rule is worth the moral cost when making moral decisions?,MoralDes_Integration - To what degree do you think about how to trade-off the moral value of following a rule against the moral value of its consequences when making moral decisions?,MoralDes_Integration - To what extent do you think about how to integrate the moral value of following versus breaking a rule with the moral value of its consequences when making moral decisions?,MoralDes_Rules - To what extent is it important that the action you choose does NOT violate any rules when making moral decisions?,MoralDes_Rules - To what extent is it important that the action you choose does NOT violate any norms when making moral decisions?,MoralDes_Rules - To what extent do you rely on rules when making your moral decisions?,MoralDes_Rules - To what extent is it important that the action you choose will maximize overall happiness for everyone when making moral decisions?,MoralDes_Rules - To what extent do you choose your actions based on their anticipated consequences when making moral decisions?,MoralDes_Rules - To what extent is it important that the actions you choose will have better consequences than the actions you did not choose when making moral decisions?,What is your gender? - Selected Choice,What is your gender? - Other - Text,"Are you right-handed, left-handed, or ambidextrous?",Which of the following ethnicities do you identify with? Check all that apply.,What is your current age?,What is your social political orientation?,What is your economic and fiscal political orientation?,What is your self-identified Religion? - Selected Choice,What is your self-identified Religion? - Other - Text,How religious do you feel you are?,What is your current marital status?,"What is the highest degree or level of school you have completed? If currently enrolled, please mark the previous grade or highest degree received.",Which of the following best describes your employment status? Choose all that apply.,What is your current yearly household income?,This is a pilot survey.  Did you have any problems or issues that you think we should know about?,PROLIFIC_PID,PageCount,blockOrder,blockName
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID191""}","{""ImportId"":""QID193""}","{""ImportId"":""QID192_TEXT""}","{""ImportId"":""QID209_FIRST_CLICK""}","{""ImportId"":""QID209_LAST_CLICK""}","{""ImportId"":""QID209_PAGE_SUBMIT""}","{""ImportId"":""QID209_CLICK_COUNT""}","{""ImportId"":""QID243_TEXT""}","{""ImportId"":""QID235""}","{""ImportId"":""QID213""}","{""ImportId"":""QID197_FIRST_CLICK""}","{""ImportId"":""QID197_LAST_CLICK""}","{""ImportId"":""QID197_PAGE_SUBMIT""}","{""ImportId"":""QID197_CLICK_COUNT""}","{""ImportId"":""QID244_TEXT""}","{""ImportId"":""QID215""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202_FIRST_CLICK""}","{""ImportId"":""QID202_LAST_CLICK""}","{""ImportId"":""QID202_PAGE_SUBMIT""}","{""ImportId"":""QID202_CLICK_COUNT""}","{""ImportId"":""QID265_TEXT""}","{""ImportId"":""QID218""}","{""ImportId"":""QID206""}","{""ImportId"":""QID135_FIRST_CLICK""}","{""ImportId"":""QID135_LAST_CLICK""}","{""ImportId"":""QID135_PAGE_SUBMIT""}","{""ImportId"":""QID135_CLICK_COUNT""}","{""ImportId"":""QID246_TEXT""}","{""ImportId"":""QID162""}","{""ImportId"":""QID171""}","{""ImportId"":""QID136_FIRST_CLICK""}","{""ImportId"":""QID136_LAST_CLICK""}","{""ImportId"":""QID136_PAGE_SUBMIT""}","{""ImportId"":""QID136_CLICK_COUNT""}","{""ImportId"":""QID247_TEXT""}","{""ImportId"":""QID208""}","{""ImportId"":""QID172""}","{""ImportId"":""QID137_FIRST_CLICK""}","{""ImportId"":""QID137_LAST_CLICK""}","{""ImportId"":""QID137_PAGE_SUBMIT""}","{""ImportId"":""QID137_CLICK_COUNT""}","{""ImportId"":""QID248_TEXT""}","{""ImportId"":""QID217""}","{""ImportId"":""QID173""}","{""ImportId"":""QID138_FIRST_CLICK""}","{""ImportId"":""QID138_LAST_CLICK""}","{""ImportId"":""QID138_PAGE_SUBMIT""}","{""ImportId"":""QID138_CLICK_COUNT""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""QID214""}","{""ImportId"":""QID174""}","{""ImportId"":""QID139_FIRST_CLICK""}","{""ImportId"":""QID139_LAST_CLICK""}","{""ImportId"":""QID139_PAGE_SUBMIT""}","{""ImportId"":""QID139_CLICK_COUNT""}","{""ImportId"":""QID250_TEXT""}","{""ImportId"":""QID220""}","{""ImportId"":""QID175""}","{""ImportId"":""QID140_FIRST_CLICK""}","{""ImportId"":""QID140_LAST_CLICK""}","{""ImportId"":""QID140_PAGE_SUBMIT""}","{""ImportId"":""QID140_CLICK_COUNT""}","{""ImportId"":""QID251_TEXT""}","{""ImportId"":""QID221""}","{""ImportId"":""QID176""}","{""ImportId"":""QID141_FIRST_CLICK""}","{""ImportId"":""QID141_LAST_CLICK""}","{""ImportId"":""QID141_PAGE_SUBMIT""}","{""ImportId"":""QID141_CLICK_COUNT""}","{""ImportId"":""QID252_TEXT""}","{""ImportId"":""QID219""}","{""ImportId"":""QID178""}","{""ImportId"":""QID142_FIRST_CLICK""}","{""ImportId"":""QID142_LAST_CLICK""}","{""ImportId"":""QID142_PAGE_SUBMIT""}","{""ImportId"":""QID142_CLICK_COUNT""}","{""ImportId"":""QID253_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID177""}","{""ImportId"":""QID143_FIRST_CLICK""}","{""ImportId"":""QID143_LAST_CLICK""}","{""ImportId"":""QID143_PAGE_SUBMIT""}","{""ImportId"":""QID143_CLICK_COUNT""}","{""ImportId"":""QID254_TEXT""}","{""ImportId"":""QID222""}","{""ImportId"":""QID179""}","{""ImportId"":""QID144_FIRST_CLICK""}","{""ImportId"":""QID144_LAST_CLICK""}","{""ImportId"":""QID144_PAGE_SUBMIT""}","{""ImportId"":""QID144_CLICK_COUNT""}","{""ImportId"":""QID255_TEXT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID242""}","{""ImportId"":""QID145_FIRST_CLICK""}","{""ImportId"":""QID145_LAST_CLICK""}","{""ImportId"":""QID145_PAGE_SUBMIT""}","{""ImportId"":""QID145_CLICK_COUNT""}","{""ImportId"":""QID256_TEXT""}","{""ImportId"":""QID226""}","{""ImportId"":""QID181""}","{""ImportId"":""QID146_FIRST_CLICK""}","{""ImportId"":""QID146_LAST_CLICK""}","{""ImportId"":""QID146_PAGE_SUBMIT""}","{""ImportId"":""QID146_CLICK_COUNT""}","{""ImportId"":""QID257_TEXT""}","{""ImportId"":""QID227""}","{""ImportId"":""QID182""}","{""ImportId"":""QID147_FIRST_CLICK""}","{""ImportId"":""QID147_LAST_CLICK""}","{""ImportId"":""QID147_PAGE_SUBMIT""}","{""ImportId"":""QID147_CLICK_COUNT""}","{""ImportId"":""QID258_TEXT""}","{""ImportId"":""QID225""}","{""ImportId"":""QID183""}","{""ImportId"":""QID148_FIRST_CLICK""}","{""ImportId"":""QID148_LAST_CLICK""}","{""ImportId"":""QID148_PAGE_SUBMIT""}","{""ImportId"":""QID148_CLICK_COUNT""}","{""ImportId"":""QID259_TEXT""}","{""ImportId"":""QID228""}","{""ImportId"":""QID184""}","{""ImportId"":""QID149_FIRST_CLICK""}","{""ImportId"":""QID149_LAST_CLICK""}","{""ImportId"":""QID149_PAGE_SUBMIT""}","{""ImportId"":""QID149_CLICK_COUNT""}","{""ImportId"":""QID260_TEXT""}","{""ImportId"":""QID230""}","{""ImportId"":""QID185""}","{""ImportId"":""QID150_FIRST_CLICK""}","{""ImportId"":""QID150_LAST_CLICK""}","{""ImportId"":""QID150_PAGE_SUBMIT""}","{""ImportId"":""QID150_CLICK_COUNT""}","{""ImportId"":""QID261_TEXT""}","{""ImportId"":""QID232""}","{""ImportId"":""QID186""}","{""ImportId"":""QID151_FIRST_CLICK""}","{""ImportId"":""QID151_LAST_CLICK""}","{""ImportId"":""QID151_PAGE_SUBMIT""}","{""ImportId"":""QID151_CLICK_COUNT""}","{""ImportId"":""QID262_TEXT""}","{""ImportId"":""QID229""}","{""ImportId"":""QID187""}","{""ImportId"":""QID152_FIRST_CLICK""}","{""ImportId"":""QID152_LAST_CLICK""}","{""ImportId"":""QID152_PAGE_SUBMIT""}","{""ImportId"":""QID152_CLICK_COUNT""}","{""ImportId"":""QID263_TEXT""}","{""ImportId"":""QID231""}","{""ImportId"":""QID188""}","{""ImportId"":""QID153_FIRST_CLICK""}","{""ImportId"":""QID153_LAST_CLICK""}","{""ImportId"":""QID153_PAGE_SUBMIT""}","{""ImportId"":""QID153_CLICK_COUNT""}","{""ImportId"":""QID264_TEXT""}","{""ImportId"":""QID234""}","{""ImportId"":""QID189""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238_TEXT""}","{""ImportId"":""QID239""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID164_2""}","{""ImportId"":""QID241_1""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID165_2""}","{""ImportId"":""QID165_3""}","{""ImportId"":""QID168_6""}","{""ImportId"":""QID168_7""}","{""ImportId"":""QID168_10""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID166_2""}","{""ImportId"":""QID166_4""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID167_2""}","{""ImportId"":""QID167_4""}","{""ImportId"":""QID169_6""}","{""ImportId"":""QID169_7""}","{""ImportId"":""QID169_8""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_3_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID170""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_8_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID194_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""PageCount""}","{""ImportId"":""blockOrder""}","{""ImportId"":""blockName""}"
2025-01-30 16:17:16,2025-01-30 16:21:08,Survey Preview,,100,231,True,2025-01-30 16:21:09,R_3E5D6DwxeJ4ER1k,,,,,36.039,-78.878,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-30 16:43:47,2025-01-30 16:44:06,Survey Preview,,100,19,True,2025-01-30 16:44:06,R_3hEGfIZ7asGUtBn,,,,,36.039,-78.878,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-30 17:01:32,2025-01-30 17:01:48,Survey Preview,,100,15,True,2025-01-30 17:01:48,R_7y30ESpD3C6LyF3,,,,,36.039,-78.878,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31 10:05:20,2025-01-31 10:05:34,Survey Preview,,100,13,True,2025-01-31 10:05:34,R_3loxqdFwvipsxkQ,,,,,36.0229,-78.9464,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 08:14:28,2025-02-03 08:16:35,Survey Preview,,100,126,True,2025-02-03 08:16:35,R_6paSb7Uuoia6II9,,,,,36.0229,-78.9464,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03 08:28:30,2025-02-03 08:38:12,Survey Preview,,100,582,True,2025-02-03 08:38:13,R_5HsWsfsTdwj7feV,,,,,36.0229,-78.9464,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-11 14:57:59,2025-02-11 15:02:23,Survey Preview,,100,263,True,2025-02-11 15:02:23,R_5LTB94sdLnrGDMD,,,,,36.0251,-78.9217,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14 10:15:45,2025-02-14 10:16:30,Survey Preview,,100,45,True,2025-02-14 10:16:30,R_75Fbpom9pVhCbev,,,,,36.0229,-78.9464,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
