PROLIFIC_PID,question_num,ans,intuition,color,damage_lvl,question_type,base_line,diff,full_type
607efd741f6bcb251d7d5cee,Q320,20,unint,blues,8642,allocation,40,-20,allocation_8642
607efd741f6bcb251d7d5cee,Q321,5,unint,blues,8642,penalty,0,5,penalty_8642
607efd741f6bcb251d7d5cee,Q322,-1,unint,blues,8642,praiseworthy,0,-1,praiseworthy_8642
607efd741f6bcb251d7d5cee,Q245,40,unint,blues,6211,allocation,60,-20,allocation_6211
607efd741f6bcb251d7d5cee,Q206,1,unint,blues,6211,penalty,0,1,penalty_6211
607efd741f6bcb251d7d5cee,Q9...103,-2,unint,blues,6211,praiseworthy,0,-2,praiseworthy_6211
607efd741f6bcb251d7d5cee,Q300,30,unint,blues,4321,allocation,40,-10,allocation_4321
607efd741f6bcb251d7d5cee,Q301,5,unint,blues,4321,penalty,0,5,penalty_4321
607efd741f6bcb251d7d5cee,Q302,-3,unint,blues,4321,praiseworthy,0,-3,praiseworthy_4321
664b86d71e77821153d7fdef,Q244,20,int,rocket,8642,allocation,40,-20,allocation_8642
664b86d71e77821153d7fdef,Q160,5,int,rocket,8642,penalty,0,5,penalty_8642
664b86d71e77821153d7fdef,Q9...63,-2,int,rocket,8642,praiseworthy,0,-2,praiseworthy_8642
664b86d71e77821153d7fdef,Q315,40,int,rocket,6211,allocation,60,-20,allocation_6211
664b86d71e77821153d7fdef,Q316,1,int,rocket,6211,penalty,0,1,penalty_6211
664b86d71e77821153d7fdef,Q317,1,int,rocket,6211,praiseworthy,0,1,praiseworthy_6211
664b86d71e77821153d7fdef,Q290,30,int,rocket,4321,allocation,40,-10,allocation_4321
664b86d71e77821153d7fdef,Q291,3,int,rocket,4321,penalty,0,3,penalty_4321
664b86d71e77821153d7fdef,Q292,-2,int,rocket,4321,praiseworthy,0,-2,praiseworthy_4321
590f901cdcc7b30001eed302,Q241,40,unint,rocket,8642,allocation,40,0,allocation_8642
590f901cdcc7b30001eed302,Q233,4,unint,rocket,8642,penalty,0,4,penalty_8642
590f901cdcc7b30001eed302,Q213,-2,unint,rocket,8642,praiseworthy,0,-2,praiseworthy_8642
590f901cdcc7b30001eed302,Q310,95,unint,rocket,6211,allocation,60,35,allocation_6211
590f901cdcc7b30001eed302,Q311,0,unint,rocket,6211,penalty,0,0,penalty_6211
590f901cdcc7b30001eed302,Q312,3,unint,rocket,6211,praiseworthy,0,3,praiseworthy_6211
590f901cdcc7b30001eed302,Q295,50,unint,rocket,4321,allocation,40,10,allocation_4321
590f901cdcc7b30001eed302,Q296,5,unint,rocket,4321,penalty,0,5,penalty_4321
590f901cdcc7b30001eed302,Q297,-3,unint,rocket,4321,praiseworthy,0,-3,praiseworthy_4321
67f799107a989889259b84d0,Q246,25,int,blues,8642,allocation,40,-15,allocation_8642
67f799107a989889259b84d0,Q215,1,int,blues,8642,penalty,0,1,penalty_8642
67f799107a989889259b84d0,Q9...129,1,int,blues,8642,praiseworthy,0,1,praiseworthy_8642
67f799107a989889259b84d0,Q305,50,int,blues,6211,allocation,60,-10,allocation_6211
67f799107a989889259b84d0,Q306,2,int,blues,6211,penalty,0,2,penalty_6211
67f799107a989889259b84d0,Q307,1,int,blues,6211,praiseworthy,0,1,praiseworthy_6211
67f799107a989889259b84d0,Q325,25,int,blues,4321,allocation,40,-15,allocation_4321
67f799107a989889259b84d0,Q326,1,int,blues,4321,penalty,0,1,penalty_4321
67f799107a989889259b84d0,Q327,2,int,blues,4321,praiseworthy,0,2,praiseworthy_4321
6644cf0a2e641bfd221ac4af,Q320,15,unint,blues,8642,allocation,40,-25,allocation_8642
6644cf0a2e641bfd221ac4af,Q321,0,unint,blues,8642,penalty,0,0,penalty_8642
